Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude_plant,Longitude_plant,geometry,environmental_indicator,Latitude_station,Longitude_station,distance_km,environmental_indicator_log
P100000121153,ESM Mutún steel plant,Empresa Siderúrgica del Mutún,E100002000080,Empresa Siderúrgica del Mutún [100.0%],E100002000080 [100.0%],Santa Cruz,Bolivia,Central & South America,1,,700,operating,200,-19.137325,-57.880605,POINT (-6443239.475406604 -2171110.3991861255),64633.832128563045,23.625,68.20833333,14859.921,11.077
P100000120017,Pavgord Zenica steel plant,Pavgord doo,E100001013687,Pavgord doo [100.0%],E100001013687 [100.0%],Zenica-Doboj,Bosnia and Herzegovina,Europe,133,1892,2200,operating,1940,44.224446,17.899815,POINT (1992598.2910938002 5500241.671130491),603655.6002061085,27.125,69.54166667,6214.746,13.311
P100000120053,Aperam Timóteo steel plant,Aperam Inox America do Sul SA,E100000130690,Aperam SA,E100000130966,Minas Gerais,Brazil,Central & South America,76,1949,2317,operating,900,-19.531272,-42.639979,POINT (-4746660.749715879 -2217585.5485589216),64633.832128563045,23.625,68.20833333,13286.248,11.077
P100000120050,ArcelorMittal Barra Mansa steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Rio de Janeiro,Brazil,Central & South America,88,1937,232,operating,800,-22.525806,-44.191067,POINT (-4919327.0760514345 -2574772.7371035824),64633.832128563045,23.625,68.20833333,13581.664,11.077
P100000120045,ArcelorMittal Juiz de Fora steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Minas Gerais,Brazil,Central & South America,41,1984,1000,operating,1100,-21.626963,-43.462361,POINT (-4838207.895193432 -2466796.177950894),64633.832128563045,23.625,68.20833333,13465.106,11.077
P100000120035,ArcelorMittal Monlevade steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Minas Gerais,Brazil,Central & South America,88,1937,975,operating,1200,-19.832129,-43.130164,POINT (-4801227.894310379 -2253154.8701188737),64633.832128563045,23.625,68.20833333,13350.119,11.077
P100000120040,ArcelorMittal Pecém steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Ceará,Brazil,Central & South America,9,2016,2500,operating,3000,-3.585917,-38.858932,POINT (-4325756.523010444 -399443.31054211553),64633.832128563045,23.625,68.20833333,12317.045,11.077
P100000120041,ArcelorMittal Piracicaba steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],São Paulo,Brazil,Central & South America,70,1955,500,operating,1100,-22.698154,-47.657146,POINT (-5305169.2253806945 -2595556.055352236),64633.832128563045,23.625,68.20833333,13945.823,11.077
P100000120036,ArcelorMittal Resende steel plant,ArcelorMittal Brasil SA,E100001000493,ArcelorMittal SA [97.1%]; small shareholder(s) [2.9%],E100000000687 [97.1%]; E100001015587 [2.9%],Rio de Janeiro,Brazil,Central & South America,16,2009,668,operating,1000,-22.493597,-44.512628,POINT (-4955123.082830411 -2570891.558922989),64633.832128563045,23.625,68.20833333,13613.143,11.077
P100000120034,ArcelorMittal Tubarão steel plant,ArcelorMittal Tubarão Comercial SA,E100001000507,ArcelorMittal Tubarão Comercial SA [100.0%],E100001000507 [100.0%],Espírito Santo,Brazil,Central & South America,42,1983,5000,operating,7500,-20.253447,-40.242298,POINT (-4479752.121711171 -2303079.4972744007),64633.832128563045,23.625,68.20833333,13071.268,11.077
