Plant ID,Plant name (English),Owner,Owner GEM ID,Parent,Parent GEM ID,Subnational unit (province/state),Country/Area,Region,Plant age (years),Start date,Workforce size,Status,Nominal crude steel capacity (ttpa),Latitude,Longitude
P100000120051,Simec Pindamonhangaba steel plant,GV do Brasil Industria e Comercio de Aço Ltda,E100000130990,Grupo Simec SAB de CV [100.0%],E100000130728 [100.0%],São Paulo,Brazil,Central & South America,10,2015,480,operating,500,-22.921912,-45.413234
P100000121176,Sinobras Marabá steel plant,Siderurgica Norte Brasil SA,E100001012180,WMA Participacoes SA [80.0%]; Aço Cearense Industrial Ltda [20.0%],E100001012181 [80.0%]; E100001012182 [20.0%],Pará,Brazil,Central & South America,18,2007,1300,operating,475,-5.414287,-49.081305
P100000120038,Ternium Brasil Santa Cruz steel plant,Ternium Brasil Ltda,E100000131066,Ternium SA [100.0%],E100001000384 [100.0%],Rio de Janeiro,Brazil,Central & South America,15,2010,8000,operating,5200,-22.912549,-43.741614
P100000120043,Usiminas Ipatinga steel plant,Usinas Siderurgicas de Minas Gerais SA,E100000130691,Usinas Siderurgicas de Minas Gerais SA [100.0%],E100000130691 [100.0%],Minas Gerais,Brazil,Central & South America,63,1962,6500,operating,5000,-19.491277,-42.544253
P100000120044,Vallourec Jeceaba steel plant,Vallourec Soluções Tubulares do Brasil SA,E100000130951,Vallourec SA [100.0%],E100001010324 [100.0%],Minas Gerais,Brazil,Central & South America,14,2011,2500,operating,1000,-20.582683,-43.971555
P100000120054,Viena Açailândia iron works,Andrade Valladares Engenharia e Construcao Ltda,E100000130884,natural person(s); RKV Participacoes Ltda; Skv Participacoes Ltda; Viena Administracao e Participacoes Ltda,E100000123261; E100002007562; E100002007563; E100002007564,Maranhão,Brazil,Central & South America,37,1988,1300,operating,1350,-4.887877,-47.392157
P100000120031,Stomana Industry Pernik steel plant,Stomana Industry AD,E100000130943,Viohalco SA [100.0%],E100000131005 [100.0%],Pernik,Bulgaria,Europe,67,1958,1200,operating,1400,42.595629,23.093095
P100000120059,Algoma steel plant,Algoma Steel Group Inc,E100000001817,Algoma Steel Group Inc [100.0%],E100000001817 [100.0%],Ontario,Canada,North America,124,1901,2700,operating,3700,46.518984,-84.374068
P100000120058,ArcelorMittal Dofasco steel plant,ArcelorMittal Dofasco GP,E100001000495,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Ontario,Canada,North America,113,1912,5000,operating,1350,43.269255,-79.804858
P100000120057,ArcelorMittal Montreal steel plant,ArcelorMittal Long Products Canada GP,E100001000502,ArcelorMittal SA [100.0%],E100000000687 [100.0%],Quebec,Canada,North America,111,1914,1900,operating,2400,45.835148,-73.254957
P100000120061,Cleveland-Cliffs Lake Erie steel plant,Cleveland-Cliffs Inc,E100001000649,Cleveland-Cliffs Inc [100.0%],E100001000649 [100.0%],Ontario,Canada,North America,45,1980,1373,operating,2500,42.805448,-80.095313
P100000120060,Evraz Regina Steel plant,Evraz North America PLC,E100000131019,EVRAZ PLC,E100001000663,Saskatchewan,Canada,North America,64,1961,1200,operating,1200,50.51499,-104.630589
P100000120062,Gerdau Whitby Steel Mill,Gerdau Ameristeel Corp,E100001010298,Gerdau SA [98.2%],E100001010270 [98.2%],Ontario,Canada,North America,61,1964,385,operating,1100,43.856461,-78.908997
P100000120063,Ivaco Rolling Mills steel plant,Ivaco Rolling Mills 2004 LP,E100000130855,Heico Companies LLC,E100000130934,Ontario,Canada,North America,54,1971,500,operating,650,45.613941,-74.704608
P100000120064,Rio Tinto Fer et Titane steel plant,Rio Tinto Iron and Titanium Canada Inc,E100000131063,Rio Tinto PLC [100.0%],E100000001119 [100.0%],Quebec,Canada,North America,75,1950,1400,operating,600,46.044367,-73.138474
P100000120067,AZA Colina steel plant,Aceros AZA SA,E100000131104,Ingenieria e Inversiones Ltda; Inversiones Los Andes SA; Inversiones Reyosan SpA; Matco Cables SpA,E100000131059; E100000131168; E100000131169; E100000131163,Región Metropolitana,Chile,Central & South America,26,,612,operating,520,-33.294729,-70.727881
P100000120163,Angang Group Xinyang Iron and Steel Co Ltd,"Xinyang Iron & Steel Co.,ltd of Angang Group",E100000127277,natural person(s) [65.2%]; Henan PROVINCE HENGCHANG Trading Co Ltd [15.8%]; unknown [10.4%]; Henan State Owned Capital Operation Group Co Ltd [8.6%],E100000123261 [65.2%]; E100000127609 [15.8%]; E100000132388 [10.4%]; E100000125158 [8.6%],Henan,China,Asia Pacific,54,1971,3992,operating,3600,32.488704,114.038243
P100000120089,Angang Lianzhong Stainless Steel Co Ltd,Angang Lianzhong Stainless Steel Corp,E100000127397,Ansteel Group Co Ltd [60.0%]; Lianzhong Co Ltd [18.2%]; power rich Co Ltd [17.4%]; unknown [4.4%],E100000124667 [60.0%]; E100000130687 [18.2%]; E100000130686 [17.4%]; E100000132388 [4.4%],Guangdong,China,Asia Pacific,24,2001,1764,operating,1900,23.126822,113.505817
P100000120219,Angang Steel Co Ltd,Angang Steel Co Ltd,E100000126769,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],Liaoning,China,Asia Pacific,27,,31456,operating,20650,41.148267,122.983054
P100000120220,Angang Steel Co Ltd Bayuquan branch,Angang Steel Co Ltd,E100000126769,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],Liaoning,China,Asia Pacific,19,2006,4072,operating,7500,40.308494,122.13079
P100000120070,Anhui Changjiang Steel Co Ltd,Anhui Changjiang Steel Co Ltd,E100000123155,Maanshan Iron & Steel Co Ltd [55.0%]; natural person(s) [37.2%]; unknown [7.8%],E100000123737 [55.0%]; E100000123261 [37.2%]; E100000132388 [7.8%],Anhui,China,Asia Pacific,22,2003,3886,operating,3800,31.502272,118.465162
P100000120071,Anhui Guihang Special Steel Co Ltd,Anhui Guihang Special Steel Co Ltd,E100000126525,Anhui Guihang Special Steel Co Ltd [100.0%],E100000126525 [100.0%],Anhui,China,Asia Pacific,15,,2437,operating,2700,30.531068,117.251147
P100000120391,Anhui Jin an Stainless Steel Casting Co Ltd,Anhui Jin'an Stainless Steel Foundry Co Ltd,E100000126390,Anhui Xinda Steel Development Co Ltd [100.0%],E100000127607 [100.0%],Anhui,China,Asia Pacific,3,2022,300,operating,500,31.763956,115.924372
P100000120402,Anhui Langxi Hongtai Iron and Steel Co Ltd,Anhui Langxi County Fuhang Steel Co Ltd,E100000126133,Anhui Langxi County Fuhang Steel Co Ltd [100.0%],E100000126133 [100.0%],Anhui,China,Asia Pacific,23,2002,552,operating,1000,31.246635,119.120443
P100001025923,Anhui Lixin Special Steel Co Ltd,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd",E100002005337,"Guangde Xinyuanda Metal Products Co., Ltd. Co Ltd [100.0%]",E100002005337 [100.0%],Anhui,China,Asia Pacific,14,,283,operating,500,31.0494162,119.5296269
P100000120313,Anhui Shoukuang Dachang Metal Material Co Ltd,Anhui Shoukuang Dachang Metal Material Co Ltd,E100000126761,CSCEC Rongdong Investment Holding Co Ltd [89.0%]; Fang TongZhou Holding Co Ltd [7.9%]; unknown [3.1%],E100000128793 [89.0%]; E100000128301 [7.9%]; E100000132388 [3.1%],Anhui,China,Asia Pacific,15,2010,4161,operating,3000,32.329171,115.954963
P100000120231,Anshan Baode Iron and Steel Co Ltd,Anshan Baode Iron & Steel Co Ltd,E100000126417,Anshan Baode Iron & Steel Co Ltd [100.0%],E100000126417 [100.0%],Liaoning,China,Asia Pacific,26,,2235,operating,1800,41.173613,122.945501
P100000120221,Ansteel Group Chaoyang Steel and Iron Co Ltd,Angang Steel Co Ltd,E100000126769,Angang Steel Co Ltd [100.0%],E100000126769 [100.0%],Liaoning,China,Asia Pacific,18,,2050,operating,2100,41.528945,120.369983
P100000120160,Anyang Iron and Steel Co Ltd,Anyang Iron & Steel Co Ltd,E100001000432,Anyang Iron & Steel Co Ltd [100.0%],E100001000432 [100.0%],Henan,China,Asia Pacific,67,1958,13355,operating,5950,36.122129,114.283145
P100000120256,Baoshan Iron and Steel Co Ltd Headquarters,Baoshan Iron & Steel Co Ltd,E100000122571,Baoshan Iron & Steel Co Ltd [100.0%],E100000122571 [100.0%],Shanghai,China,Asia Pacific,48,1977,12859,operating,19800,31.41623,121.440087
P100000120336,Baosteel Desheng Stainless Steel Co Ltd,Baosteel Desheng Stainless Steel Co Ltd,E100000127278,China Baowu Steel Group Co Ltd [70.0%]; Fujian Wugang Group Co Ltd [30.0%],E100001000472 [70.0%]; E100000127616 [30.0%],Fujian,China,Asia Pacific,14,2011,2132,operating,3220,26.48747,119.654461
P100000120289,Baosteel Group Xinjiang Bayi Iron and Steel Co Ltd,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd,E100001012045,Baosteel Group Xinjiang Bayi Iron & Steel Co Ltd [100.0%],E100001012045 [100.0%],Xinjiang,China,Asia Pacific,30,,3058,operating,7300,43.852147,87.304639
P100000120085,Baosteel Zhanjiang Iron and Steel Co Ltd,Baosteel Zhanjiang Iron & Steel Co Ltd,E100000121815,Baoshan Iron & Steel Co Ltd [90.0%]; Guangdong Hengjian Investment Holding Co Ltd [10.0%],E100000122571 [90.0%]; E100000000194 [10.0%],Guangdong,China,Asia Pacific,14,2011,4765,operating,12528,21.056035,110.48657
