Plant ID,Workforce size,Nominal crude steel capacity (ttpa),ISO 14001,ISO 50001,ResponsibleSteel Certification,Year,Crude steel production (ttpa),Plant Age,Capacity per Worker (ttpa per worker),Certification score,Avg_Annual_Growth,Growth_Volatility,Asia Pacific,Central & South America,Eurasia,Europe,Middle East,North America
P100000120202,-0.6491917047260902,-0.46714082760901127,1,1,0,2019,-0.3272077636757562,-0.7723185137093587,0.11372690649873561,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120202,-0.6491917047260902,-0.46714082760901127,1,1,0,2020,-0.3272077636757562,-0.7471699003144697,0.11372690649873561,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120202,-0.6491917047260902,-0.46714082760901127,1,1,0,2021,-0.3272077636757562,-0.7220212869195807,0.11372690649873561,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120202,-0.6491917047260902,-0.46714082760901127,1,1,0,2022,-0.3272077636757562,-0.6968726735246917,0.11372690649873561,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120202,-0.6491917047260902,-0.46714082760901127,1,1,0,2023,-0.3272077636757562,-0.6717240601298027,0.11372690649873561,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120211,0.2894280169915461,-0.09413836101954644,1,1,0,2019,0.10208187427575019,0.35936908906064624,-0.3353599790167727,0.9364525377264761,-0.14362255875034413,-0.2752982919518684,True,False,False,False,False,False
P100000120211,0.2894280169915461,-0.09413836101954644,1,1,0,2020,0.1640666285874001,0.38451770245553524,-0.3353599790167727,0.9364525377264761,-0.14362255875034413,-0.2752982919518684,True,False,False,False,False,False
P100000120211,0.2894280169915461,-0.09413836101954644,1,1,0,2021,0.13307425143157514,0.40966631585042423,-0.3353599790167727,0.9364525377264761,-0.14362255875034413,-0.2752982919518684,True,False,False,False,False,False
P100000120211,0.2894280169915461,-0.09413836101954644,1,1,0,2022,0.13307425143157514,0.43481492924531323,-0.3353599790167727,0.9364525377264761,-0.14362255875034413,-0.2752982919518684,True,False,False,False,False,False
P100000120211,0.2894280169915461,-0.09413836101954644,1,1,0,2023,0.13307425143157514,0.4599635426402022,-0.3353599790167727,0.9364525377264761,-0.14362255875034413,-0.2752982919518684,True,False,False,False,False,False
P100000120214,4.218224786804447,1.9720083789117893,1,1,0,2019,1.0280716256901063,0.35936908906064624,-0.3667522032803014,0.9364525377264761,-0.18438617832337859,-0.3574720597024596,True,False,False,False,False,False
P100000120214,4.218224786804447,1.9720083789117893,1,1,0,2020,1.0961397643771702,0.38451770245553524,-0.3667522032803014,0.9364525377264761,-0.18438617832337859,-0.3574720597024596,True,False,False,False,False,False
P100000120214,4.218224786804447,1.9720083789117893,1,1,0,2021,1.0621056950336383,0.40966631585042423,-0.3667522032803014,0.9364525377264761,-0.18438617832337859,-0.3574720597024596,True,False,False,False,False,False
P100000120214,4.218224786804447,1.9720083789117893,1,1,0,2022,1.0621056950336383,0.43481492924531323,-0.3667522032803014,0.9364525377264761,-0.18438617832337859,-0.3574720597024596,True,False,False,False,False,False
P100000120214,4.218224786804447,1.9720083789117893,1,1,0,2023,1.0621056950336383,0.4599635426402022,-0.3667522032803014,0.9364525377264761,-0.18438617832337859,-0.3574720597024596,True,False,False,False,False,False
P100000120216,1.36406258907676,0.4194573429767167,1,0,0,2019,0.15551700730303458,-0.8477643538940257,-0.35964079010523775,-0.3490719137044929,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120216,1.36406258907676,0.4194573429767167,1,0,0,2020,0.15551700730303458,-0.8226157404991367,-0.35964079010523775,-0.3490719137044929,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120216,1.36406258907676,0.4194573429767167,1,0,0,2021,0.15551700730303458,-0.7974671271042477,-0.35964079010523775,-0.3490719137044929,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120216,1.36406258907676,0.4194573429767167,1,0,0,2022,0.15551700730303458,-0.7723185137093587,-0.35964079010523775,-0.3490719137044929,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120216,1.36406258907676,0.4194573429767167,1,0,0,2023,0.15551700730303458,-0.7471699003144697,-0.35964079010523775,-0.3490719137044929,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120219,5.366924916776603,5.027472430228105,1,1,0,2019,2.4943316759587906,-0.6465754467349137,-0.29759737163372546,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120219,5.366924916776603,5.027472430228105,1,1,0,2020,2.4943316759587906,-0.6214268333400247,-0.29759737163372546,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120219,5.366924916776603,5.027472430228105,1,1,0,2021,2.4943316759587906,-0.5962782199451357,-0.29759737163372546,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120219,5.366924916776603,5.027472430228105,1,1,0,2022,2.4943316759587906,-0.5711296065502467,-0.29759737163372546,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
P100000120219,5.366924916776603,5.027472430228105,1,1,0,2023,2.4943316759587906,-0.5459809931553578,-0.29759737163372546,0.9364525377264761,-0.21461119967635964,-0.4249127834234746,True,False,False,False,False,False
